ID,County,Acres,InstallType,UrbanRural,Class,DistSub_100,Percent_100,Substation_100,HIFLD_100,DistSub_200,Percent_200,Substation_200,HIFLD_200,DistSub_CAISO,Percent_CAISO,Substation_CAISO,HIFLD_CAISO,SolarTech,Area,Length
1,Alameda,1.672639087,Rooftop,Urban,Rooftop - Urban,0.162731976,0-25,Dixon Landing,309200,2.272282731,0-25,Los Esteros,310258,2.272282731,0-25,Los Esteros,310258,Within,6768.954679,365.8013357
2,Alameda,1.897077646,Rooftop,Urban,Rooftop - Urban,0.226728301,0-25,Dixon Landing,309200,2.392815837,0-25,Los Esteros,310258,2.392815837,0-25,Los Esteros,310258,Within,7677.228982,366.9098782
3,Alameda,1.275783414,Rooftop,Urban,Rooftop - Urban,0.426103689,0-25,Dixon Landing,309200,2.537298336,0-25,Los Esteros,310258,2.537298336,0-25,Los Esteros,310258,Within,5162.93599,290.5762633
4,Alameda,1.424285823,Rooftop,Urban,Rooftop - Urban,0.491305911,0-25,Dixon Landing,309200,2.626699206,0-25,Los Esteros,310258,2.626699206,0-25,Los Esteros,310258,Within,5763.905754,344.7058459
5,Alameda,0.984428742,Rooftop,Urban,Rooftop - Urban,0.795821931,0-25,Dixon Landing,309200,2.728629427,0-25,Los Esteros,310258,2.728629427,25-50,Los Esteros,310258,Within,3983.859693,283.9684255
6,Alameda,2.275561239,Rooftop,Urban,Rooftop - Urban,1.060613173,0-25,Dixon Landing,309200,2.826297603,0-25,Los Esteros,310258,2.826297603,25-50,Los Esteros,310258,Within,9208.905911,422.343507
7,Alameda,0.824320267,Rooftop,Urban,Rooftop - Urban,1.397359982,25-50,Dixon Landing,309200,3.083423161,0-25,Los Esteros,310258,3.083423161,25-50,Los Esteros,310258,Within,3335.920502,232.1715262
8,Alameda,1.631084797,Rooftop,Urban,Rooftop - Urban,1.346605036,0-25,Nummi,305808,3.161070603,25-50,Los Esteros,310258,3.161070603,25-50,Los Esteros,310258,Within,6600.785233,339.3316939
9,Alameda,1.913580885,Rooftop,Urban,Rooftop - Urban,1.14522052,0-25,Dixon Landing,309200,3.237681854,25-50,Los Esteros,310258,3.237681854,25-50,Los Esteros,310258,Within,7743.994226,393.800819
10,Alameda,0.562090342,Parking,Urban,Parking - Urban,1.169076902,0-25,Dixon Landing,309200,3.285504903,25-50,Los Esteros,310258,3.285504903,25-50,Los Esteros,310258,Within,2274.707872,188.8451971
11,Alameda,7.312415796,Rooftop,Urban,Rooftop - Urban,1.216918786,0-25,Nummi,305808,3.257849151,25-50,Newark Distribution,309183,3.336901551,25-50,Los Esteros,310258,Within,29592.37533,806.434938
12,Alameda,7.15489898,Rooftop,Urban,Rooftop - Urban,1.054982421,0-25,Nummi,305808,3.134765196,25-50,Newark Distribution,309183,3.464362956,25-50,Los Esteros,310258,Within,28954.9354,764.2859977
13,Alameda,1.179213579,Rooftop,Urban,Rooftop - Urban,0.887263191,0-25,Nummi,305808,2.738405902,0-25,Newark Distribution,309183,3.633267213,25-50,Los Esteros,310258,Within,4772.132691,303.054145
14,Alameda,2.084007742,Ground,Urban,Ground - Urban,0.767027921,0-25,Nummi,305808,2.306745963,0-25,Newark Distribution,309183,3.883234588,25-50,Los Esteros,310258,Within,8433.722512,406.8322044
15,Alameda,0.354536037,Parking,Urban,Parking - Urban,0.609114218,0-25,Nummi,305808,2.065011178,0-25,Newark Distribution,309183,4.258453758,25-50,Los Esteros,310258,Within,1434.762068,166.2066876
16,Alameda,1.059492151,Parking,Urban,Parking - Urban,0.642255553,0-25,Nummi,305808,1.993797622,0-25,Newark Distribution,309183,4.246470662,25-50,Los Esteros,310258,Within,4287.630104,452.2257279
17,Alameda,2.493434187,Rooftop,Urban,Rooftop - Urban,0.599687842,0-25,Nummi,305808,1.972586353,0-25,Newark Distribution,309183,4.275713143,25-50,Los Esteros,310258,Within,10090.6116,617.8954619
18,Alameda,2.267261269,Rooftop,Urban,Rooftop - Urban,0.387107452,0-25,Newark Distribution,309183,0.387107452,0-25,Newark Distribution,309183,5.392062959,50-75,Los Esteros,310258,Within,9175.303093,395.9882643
19,Alameda,1.648558221,Rooftop,Urban,Rooftop - Urban,0.577856645,0-25,Newark Distribution,309183,0.577856645,0-25,Newark Distribution,309183,5.369720058,50-75,Los Esteros,310258,Within,6671.504467,353.7173941
20,Alameda,0.453053281,Parking,Urban,Parking - Urban,0.519012513,0-25,Nummi,305808,2.359781977,0-25,Newark Distribution,309183,5.092060992,50-75,Los Esteros,310258,Within,1833.449141,210.5382727
21,Alameda,3.284246455,Rooftop,Urban,Rooftop - Urban,0.434489407,0-25,Newark Distribution,309183,0.434489407,0-25,Newark Distribution,309183,5.510002253,50-75,Los Esteros,310258,Within,13290.9075,471.6115778
22,Alameda,3.207447053,Rooftop,Urban,Rooftop - Urban,0.702100107,0-25,Newark Distribution,309183,0.702100107,0-25,Newark Distribution,309183,5.424112601,50-75,Los Esteros,310258,Within,12980.12448,486.8367543
23,Alameda,0.69002406,Parking,Urban,Parking - Urban,0.54318422,0-25,Nummi,305808,2.307096171,0-25,Newark Distribution,309183,5.121251125,50-75,Los Esteros,310258,Within,2792.439207,312.2076687
